SITE,LATITUDE,LONGITUDE,MPAGroup,site_designation,site_status,MLPA_REGN,YEAR_MPA,year,swathtrans,swath_ANTSOL,swath_ANTXAN,swath_APLCAL,swath_APOCAL,swath_APOPAR,swath_BALNUB,swath_CANSPP,swath_CENCOR,swath_COSCOS,swath_CRAGIG,swath_CRIALB,swath_CRYSTE,swath_DERIMB,swath_EISARBADSUB,swath_HALCOR,swath_HALKAM,swath_HALRUF,swath_HALWAL,swath_KELKEL,swath_LAMFAR,swath_LAMSETADSUB,swath_LEPCHI,swath_LOXGRA,swath_LOXSCY,swath_LYTPIC,swath_MACSTIPES,swath_MEDAEQ,swath_MEGCRE,swath_MEGUND,swath_MESFRAAD,swath_METSPP,swath_MURCAL,swath_MURFRU,swath_NEOSPA,swath_NERLUE,swath_ORTKOE,swath_PACFIM,swath_PANINT,swath_PATMIN,swath_PISBRE,swath_PISGIG,swath_PISOCH,swath_POMGIB,swath_PTECALADSUB,swath_PUGFOL,swath_PUGPRO,swath_PUGRIC,swath_PYCHEL,swath_STEOSMAD,swath_STRPURAD,swath_STYMON,swath_TETCAL,swath_URTPIS,swath_URTSPP,swath_LAMSPP,swath_EISARBAD,swath_EUGRUB,swath_HENLEV,swath_LAMSETAD,swath_LINCOL,swath_OCTOPUS,swath_PTECALAD,swath_TEGREG,swath_URTCOR,swath_URTCRA,swath_URTMCP,swath_URTCOLMCP,swath_CERFOL,swath_CUCMIN,swath_PLEGAR,swath_STYCAL,swath_MESFRAREC,swath_STRPURREC,swath_TEST
ANACAPA_EAST_ISLE_CEN,34.0177,-119.3637,Anacapa Island SMR,SMR,MPA,SCSR,1978,2000,4,0.75,0,0.25,0,22.75,0,0,0,0,20.75,0,0,0,34.5,0,0,0,0,0.5,0,0,0,0,0,0,201.25,0,0.5,23.75,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.75,0,0,0,0,0,102.5,0,0.75,0,0.25,114.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANACAPA_EAST_ISLE_CEN,34.0177,-119.3637,Anacapa Island SMR,SMR,MPA,SCSR,1978,2001,1,0,0,0,0,94,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,308,0,2,47,377,0,0,0,0,0,0,0,12,0,0,1,0,1,0,0,0,0,0,10,118,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANACAPA_EAST_ISLE_CEN,34.0177,-119.3637,Anacapa Island SMR,SMR,MPA,SCSR,1978,2002,4,1.5,0,0,0,29.5,0,0,0,0,13,0.25,0,0,44,1,0,0,0,2,137,0,0,0,0,0,244.25,0,0,65.5,0,0,0,0,2.75,0,0,0,3,0,0,1,0,0.75,13.5,0,0,0,0,15.5,167.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANACAPA_EAST_ISLE_CEN,34.0177,-119.3637,Anacapa Island SMR,SMR,MPA,SCSR,1978,2003,4,3.75,0,0,0,27.75,0,0,0.75,0,4.5,0.25,0,0,33,0.5,0,0,0,1.25,77.5,0,0,0,0,0,96.25,0,0.5,34,208.25,0,0,0,2,0,0,1.75,1,1.25,0,0.25,0.25,0,0,0,0.25,0,0,27.75,80.25,0,1.5,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANACAPA_EAST_ISLE_CEN,34.0177,-119.3637,Anacapa Island SMR,SMR,MPA,SCSR,1978,2004,4,6.5,0,0,0,34,0,0,0.5,0,5,0.75,0,0,30,0,0,0,0,0.5,237,0,0,0,0,0,88.5,0,2.25,12.75,161,0,0,0,1,0,0,0.75,0.25,0.25,0,4,0,0,2.75,0,0,0,0,48.75,144.25,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANACAPA_EAST_ISLE_CEN,34.0177,-119.3637,Anacapa Island SMR,SMR,MPA,SCSR,1978,2005,4,2.5,0,0,0,36.25,0,0,3.75,0,13.5,0,0,0,47.75,0,0,0,0,0.25,99.75,0,1,0.25,0,0,171.5,0,0.5,2.25,93,0,0.25,0.25,0,0,0,2.25,1.25,0.25,0,2.5,0,0.25,0,0,0,0,0,125.25,19,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANACAPA_EAST_ISLE_CEN,34.0177,-119.3637,Anacapa Island SMR,SMR,MPA,SCSR,1978,2006,4,6,0,0,0,40,0,0,5,0,7.75,0.25,0,0,60,0,0,0,0,1.25,153.25,0,0.5,0,0,0,277.25,0,2.5,3,231.25,0,0,0,0.5,0,0,0.25,6.5,0,0,1,0,0,9.75,0,0,0,0,35.5,59.25,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANACAPA_EAST_ISLE_CEN,34.0177,-119.3637,Anacapa Island SMR,SMR,MPA,SCSR,1978,2007,4,2,0,0,0,44.75,0,0,3,0,4.25,0,0,0,25,0,0,0,0,0.25,195.25,0,0.75,0,0.25,0,333.75,0,1.75,1.75,114.25,0,0,0.5,0.5,0,0,2.75,5.25,0,0,3.75,0,0,0.75,0,0,0,0,57.5,26.75,0,1.25,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANACAPA_EAST_ISLE_CEN,34.0177,-119.3637,Anacapa Island SMR,SMR,MPA,SCSR,1978,2008,4,1.5,0,0,0,39,0,0,5.25,0,5.75,0,0,0,76.5,0,0,0,0,0.25,197.75,0,0,0,0,0,187,0,1,0,167.25,0,0.25,0,0.25,0,0,0.25,8,0.25,0,2.25,0,0,14,0,0,0,0,35,40.75,0,1.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANACAPA_EAST_ISLE_CEN,34.0177,-119.3637,Anacapa Island SMR,SMR,MPA,SCSR,1978,2009,4,10.75,0,0,0,31,0,0,23,0,6.25,0,0,0,171.5,0,0,0,0,4,144.25,0,0,0,0,0,214,0,0,0.5,86,0,0.25,0,0.75,0,0,1,2.5,0,0,2.25,0,0,1.5,0,0,0,0,47.5,37.75,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANACAPA_EAST_ISLE_CEN,34.0177,-119.3637,Anacapa Island SMR,SMR,MPA,SCSR,1978,2010,4,2.25,0,0,0,14.25,0,0,4,0,3,0,0,0,86,0.25,0,0,0,0.25,237,0,0.5,0,0,0,70.5,0,0,0.75,64.25,0,0,0,2.25,0,0,1,0.75,0,0,2.25,0,0.25,18,0,0,0,0,23.75,35.5,0,1.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANACAPA_EAST_ISLE_CEN,34.0177,-119.3637,Anacapa Island SMR,SMR,MPA,SCSR,1978,2011,4,3.5,0,0.25,0,19.5,0,0,2.75,0,3.75,0,0,0,84.25,0,0,0,0,0.5,191.75,0,0.25,0,0.5,0,140.5,0,0,0.5,47,0,0,0.25,0.5,0,0,5,3.5,0,0,1.25,0,0,82.25,0,0.25,0,0,43,26.25,0.25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25,0,0,0,0,0,0,0
ANACAPA_EAST_ISLE_CEN,34.0177,-119.3637,Anacapa Island SMR,SMR,MPA,SCSR,1978,2012,4,11.75,0,0,0,23.5,0,0,3.75,0,2.25,0,0,0,101,0.25,0,0,0,0,146.75,0,0,0.25,0,0,135.75,0,0,2.5,59.25,0,0,0,0.5,0,0,0.75,1,0,0,1,0,0,21,0,0,0,0,15.25,28.75,0,0.5,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0
ANACAPA_EAST_ISLE_CEN,34.0177,-119.3637,Anacapa Island SMR,SMR,MPA,SCSR,1978,2013,4,7.25,0,0,0,1.5,0.25,0,5.75,0,6.75,0,0,0,66.25,0.25,0,0,0,0,171,0,0,0,0,0,105.25,0,0,3,23.25,0,0.25,0,0.25,0,0,0.75,0.75,0,0,0.25,0,0,30.75,0,0,0,0,8.25,24.25,0,1,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0.25,0,0,0,0,0,0,0
ANACAPA_EAST_ISLE_CEN,34.0177,-119.3637,Anacapa Island SMR,SMR,MPA,SCSR,1978,2014,4,1.5,0,0,0,4.25,0,0,3.75,0,4,0,0,0,33,0,0,0,0,0,366.75,0,0.25,0,0,0,175.5,0,0,1.25,30.25,0.25,0,0,0,0,0,1.5,2.25,0,0,0,0,0,113.5,0,0,0,0,19.25,9.75,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0,0,0,0,0,0,0
ANACAPA_EAST_ISLE_CEN,34.0177,-119.3637,Anacapa Island SMR,SMR,MPA,SCSR,1978,2015,4,8,0,1.25,0,4,0,0,5,0,10,0,0,0,110.25,0,0,0,0,0,179.25,0,0,0.25,0,0,101.75,0,0,0,17.25,0,0,0,1.25,0,0,0,2.5,0,0,0,0,0,6,0,0,0,0,22.25,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0
ANACAPA_EAST_ISLE_CEN,34.0177,-119.3637,Anacapa Island SMR,SMR,MPA,SCSR,1978,2016,4,0.75,0,2.25,0,8.75,0,0,29.5,0,8.5,0,0,0,97.75,0.25,0,0,0,1.75,74,0,0.25,0,0,0,91.75,0,0.25,2.25,12.75,0,0.5,0,0.5,0,0,0.25,2.25,0,0,0,0,0,1,0,0,0,0,20.75,8.25,0,0,0,0,0,29.5,0,0,0,0,0.75,0,0.25,0,0,0,1.25,0,0,0,0,0,0,0
