SITE,LATITUDE,LONGITUDE,MPAGroup,site_designation,site_status,MLPA_REGN,YEAR_MPA,year,fishtrans,fish_CPUN,fish_GNIG,fish_HRUB,fish_HSEM,fish_OCAL,fish_OYT,fish_SMYS,fish_EJAC,fish_KGB,fish_PCLA,fish_SPUL,fish_BFRE,fish_MCAL,fish_OPIC,fish_PCLAYOY,fish_HROS,fish_RTOX,fish_RVAC,fish_STRE,fish_STREYOY,fish_SATR,fish_CPUNYOY,fish_OCALYOY,fish_SCAR,fish_CPRI,fish_ELAT,fish_SCAU,fish_SCHR,fish_HROSYOY,fish_HCAR,fish_ATHE,fish_SMAR,fish_SPULYOY,fish_PFUR,fish_OYB,fish_SMYSYOY,fish_SDALYOY,fish_SMINYOY,fish_HRUBYOY,fish_BFREYOY,fish_RFYOY,fish_EJACYOY,fish_SPAUYOY,fish_SPAU,fish_AFLA,fish_CAGGYOY,fish_MCALYOY,fish_OELO,fish_HDEC,fish_PNEB,fish_SHOPYOY,fish_SSAXYOY,fish_SSEMYOY,fish_SROSYOY,fish_SMIN,fish_SAUR,fish_SMEL,fish_RNIC,fish_SPINYOY,fish_HCARYOY,fish_ELATYOY,fish_SAURYOY,fish_HDECYOY,fish_PNEBYOY,fish_SENTYOY,fish_SMARYOY,fish_PFURYOY,fish_AOCEYOY,fish_OPICYOY,fish_SNEBYOY,fish_PCALYOY,fish_CVIOYOY,fish_PCOEYOY,fish_SDIPYOY,fish_RVACYOY,fish_RTOXYOY,fish_SRUBYOY,fish_HLAGYOY,fish_HANAYOY,fish_PNOTYOY,fish_EMBIYOY
ANACAPA_BLACK_SEA_BASS,34.0126,-119.3892,Anacapa Island SMR,SMR,MPA,SCSR,2003,2009,12,19.91667,0.5,0.416667,1.416667,1.666667,0,0,0.5,0.166667,5.666667,1.583333,0,1,0.166667,0,0,0,0,0.25,0.166667,0.25,0.75,0,0,2.666667,0,0,0,0,0,0,0,0.083333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANACAPA_BLACK_SEA_BASS,34.0126,-119.3892,Anacapa Island SMR,SMR,MPA,SCSR,2003,2010,12,23.08333,0.833333,0.083333,0.5,7.833333,0,0,0,1,3.083333,1.75,0,0.166667,0.5,0,0,0.916667,0.083333,0.083333,0.416667,0,0,0,0,1.083333,0,0,0,0,0,0,0,0,0,0,1.833333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANACAPA_BLACK_SEA_BASS,34.0126,-119.3892,Anacapa Island SMR,SMR,MPA,SCSR,2003,2011,12,8.5,0.25,0.083333,0,2.916667,0,0.166667,0.583333,0.166667,9.583333,0.916667,0,0,0.583333,0,0,0,0,0,0.083333,0.166667,0.25,0,0,0.083333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANACAPA_BLACK_SEA_BASS,34.0126,-119.3892,Anacapa Island SMR,SMR,MPA,SCSR,2003,2012,12,17.75,0.666667,0.083333,0,2.5,0,0.083333,0.25,0.083333,6.166667,0.916667,0,0.083333,0.583333,0,0,0,0,0.166667,0,0.166667,2,0,0,0.083333,0,0,0.083333,0,0,0,0,0,0,0,0.333333,0.083333,0.083333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANACAPA_BLACK_SEA_BASS,34.0126,-119.3892,Anacapa Island SMR,SMR,MPA,SCSR,2003,2017,12,15.66667,0.166667,0.416667,12.16667,5.416667,0,0,0,0,11.25,4.166667,0,1.166667,0,0,0.083333,0,0,0,0.083333,0,0,0,0,13.16667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANACAPA_BLACK_SEA_BASS,34.0126,-119.3892,Anacapa Island SMR,SMR,MPA,SCSR,2003,2018,12,4.25,0,0.166667,9.333333,0,0,0,0,0,13.25,3.166667,0,1.75,0,0.083333,0,0,0,0.083333,0.083333,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANACAPA_BLACK_SEA_BASS,34.0126,-119.3892,Anacapa Island SMR,SMR,MPA,SCSR,2003,2019,12,1.416667,0,0.083333,2.416667,0,0,0,0,0,7.833333,2.25,0,1,0,0,0,0,0,0,0,0,0,0,0,1.916667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANACAPA_EAST_FISH_CAMP_CEN,34.0016,-119.3981,Anacapa Island SMR,reference,reference,SCSR,0,2005,8,16.875,1,0.75,0.125,1.125,0,0,0.125,0.125,0.875,0.5,0,0.5,0.125,0,0,0,0.625,0.125,0,0.125,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANACAPA_EAST_FISH_CAMP_CEN,34.0016,-119.3981,Anacapa Island SMR,reference,reference,SCSR,0,2006,8,2,2.125,0.5,0,17.75,0,0,1.125,0,1.125,0.125,0,1.25,0.125,0,0,0.25,0.375,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANACAPA_EAST_FISH_CAMP_CEN,34.0016,-119.3981,Anacapa Island SMR,reference,reference,SCSR,0,2007,8,6.5,2.875,0.25,0,100,0,0,0.5,0,2.625,0.75,0.125,0.75,0.25,0,0,0,0.75,0,0.125,0,0.875,6.5,0,0.125,0.125,0,0,0,0,26.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
